checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome
A12,12,A32,A49,1037,A62,A74,3,A93,A101,4,A121,39,A143,A152,1,A172,1,A191,A201,1
A14,6,A32,A41,1236,A63,A73,2,A93,A101,4,A122,50,A143,A151,1,A173,1,A191,A201,1
A14,24,A33,A42,4151,A62,A73,2,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,1
A14,48,A31,A49,3609,A61,A73,1,A92,A101,1,A121,27,A142,A152,1,A173,1,A191,A201,1
A14,12,A34,A49,1412,A61,A73,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,1
A11,11,A34,A40,3939,A61,A73,1,A93,A101,2,A121,40,A143,A152,2,A172,2,A191,A201,1
A11,12,A34,A41,1526,A61,A75,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1
A14,22,A32,A43,2675,A63,A75,3,A93,A101,4,A123,40,A143,A152,1,A173,1,A191,A201,1
A12,30,A30,A49,4221,A61,A73,2,A92,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,1
A11,24,A32,A41,2924,A61,A73,3,A93,A103,4,A124,63,A141,A152,1,A173,2,A192,A201,1
A14,18,A34,A42,1817,A61,A73,4,A92,A101,2,A124,28,A143,A152,2,A173,1,A191,A201,1
A13,10,A32,A44,1225,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1
A11,15,A32,A42,1845,A61,A72,4,A92,A103,1,A122,46,A143,A151,1,A173,1,A191,A201,1
A14,6,A34,A40,250,A64,A73,2,A92,A101,2,A121,41,A141,A152,2,A172,1,A191,A201,1
A14,6,A32,A45,660,A63,A74,2,A94,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,1
A13,6,A32,A40,709,A64,A72,2,A94,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,1
A11,36,A32,A410,15857,A61,A71,2,A91,A102,3,A123,43,A143,A152,1,A174,1,A191,A201,1
A12,24,A31,A46,1837,A61,A74,4,A92,A101,4,A124,34,A141,A153,1,A172,1,A191,A201,2
A11,13,A34,A49,1797,A61,A72,3,A93,A101,1,A122,28,A141,A152,2,A172,1,A191,A201,1
A11,6,A32,A46,448,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A191,A201,2
A12,18,A32,A43,3213,A63,A72,1,A94,A101,3,A121,25,A143,A151,1,A173,1,A191,A201,1
A11,12,A32,A40,2579,A61,A72,4,A93,A101,1,A121,33,A143,A152,1,A172,2,A191,A201,2
A11,6,A31,A46,1198,A61,A75,4,A92,A101,4,A124,35,A143,A153,1,A173,1,A191,A201,2
A14,21,A30,A40,5003,A65,A73,1,A92,A101,4,A122,29,A141,A152,2,A173,1,A192,A201,2
A12,24,A33,A42,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1
A14,15,A32,A44,1262,A63,A74,4,A93,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,1
A12,12,A32,A43,1155,A61,A75,3,A94,A103,3,A121,40,A141,A152,2,A172,1,A191,A201,1
A14,10,A32,A48,894,A65,A74,4,A92,A101,3,A122,40,A143,A152,1,A173,1,A192,A201,1
A14,12,A34,A42,3331,A61,A75,2,A93,A101,4,A122,42,A142,A152,1,A173,1,A191,A201,1
A12,18,A32,A43,1113,A61,A73,4,A92,A103,4,A121,26,A143,A152,1,A172,2,A191,A201,1
A14,12,A32,A46,719,A61,A75,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,2
A12,24,A33,A42,2064,A61,A71,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,2
A13,30,A34,A43,3656,A65,A75,4,A93,A101,4,A122,49,A142,A152,2,A172,1,A191,A201,1
A11,24,A34,A41,6615,A61,A71,2,A93,A101,4,A124,75,A143,A153,2,A174,1,A192,A201,1
A14,18,A34,A41,3229,A65,A71,2,A93,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,1
A14,15,A34,A42,3343,A61,A73,4,A93,A101,2,A124,28,A143,A153,1,A173,1,A192,A201,1
A11,30,A32,A42,3108,A61,A72,2,A91,A101,4,A122,31,A143,A152,1,A172,1,A191,A201,2
A12,9,A32,A43,458,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1
A14,15,A34,A43,1471,A61,A73,4,A93,A101,4,A124,35,A143,A153,2,A173,1,A192,A201,1
A12,11,A34,A40,1322,A64,A73,4,A92,A101,4,A123,40,A143,A152,2,A173,1,A191,A201,1
A11,9,A34,A45,1288,A62,A75,3,A93,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,1
A14,12,A32,A43,707,A61,A73,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,1
A12,15,A32,A45,1308,A61,A75,4,A93,A101,4,A123,38,A143,A152,2,A172,1,A191,A201,1
A14,9,A34,A43,3074,A65,A73,1,A93,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,1
A11,15,A32,A40,2511,A61,A71,1,A92,A101,4,A123,23,A143,A151,1,A173,1,A191,A201,1
A14,6,A34,A43,1740,A61,A75,2,A94,A101,2,A121,30,A143,A151,2,A173,1,A191,A201,1
A14,12,A32,A42,1123,A63,A73,4,A92,A101,4,A123,29,A143,A151,1,A172,1,A191,A201,2
A12,11,A32,A42,1577,A64,A72,4,A92,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1
A11,45,A32,A43,1845,A61,A73,4,A93,A101,4,A124,23,A143,A153,1,A173,1,A192,A201,2
A14,24,A34,A42,2028,A61,A74,2,A93,A101,2,A122,30,A143,A152,2,A172,1,A191,A201,1
A12,27,A30,A49,8318,A61,A75,2,A92,A101,4,A124,42,A143,A153,2,A174,1,A192,A201,2
A12,12,A32,A40,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2
